"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@JetBlue @Gerald_RPR Que directos son...",FALSE,0,"JetBlue",2016-09-29 22:07:48,FALSE,"781614343205117957","781616495503835136","6449282","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Miguelpimentel",0,FALSE,FALSE,NA,NA
"@simkosays @GooGooClusters Yes...@JetBlue take me away...#chocolatefix",FALSE,2,"simkosays",2016-09-29 22:05:07,FALSE,"781613025723871232","781615820174610432","15341480","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DanaHFreeman",0,FALSE,FALSE,NA,NA
"*lo bloquean* RT @Gerald_RPR: Srs @JetBlue se puede cambiar tweets por boletos aéreos? Es para un amigo...",FALSE,0,NA,2016-09-29 21:56:26,FALSE,NA,"781613634497699840",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","katymvv",0,FALSE,FALSE,NA,NA
"Enjoying @JetBlue hospitality from @martysg for a good cause at #Swingforgood at Bethpage NY https://t.co/wT26vxRgW0",FALSE,1,NA,2016-09-29 21:56:15,FALSE,NA,"781613585290125313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TGoodmann",0,FALSE,FALSE,NA,NA
"Last year group travel/sports team round trip…NY/Orlando on @JetBlue $396.00. This year $909.00! Cheaper fuel prices…INSANE!  #NoMoreJetBlue",FALSE,0,NA,2016-09-29 21:55:10,FALSE,NA,"781613315239837697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","equisponse",0,FALSE,FALSE,NA,NA
"Where do I file a complaint?! @jetblue",FALSE,0,NA,2016-09-29 21:54:32,FALSE,NA,"781613154337947652",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","_sLh86",0,FALSE,FALSE,NA,NA
"RT @Joe_Gatto: Hey @Delta @JetBlue @AmericanAir @VirginAmerica @united ... who wants to donate for my charity drive?  Just need 2 tix to #v…",FALSE,0,NA,2016-09-29 21:54:21,FALSE,NA,"781613108381020161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aimee3223",70,TRUE,FALSE,NA,NA
"Srs @JetBlue se puede cambiar tweets por boletos aéreos? Es para un amigo...",FALSE,0,NA,2016-09-29 21:53:49,FALSE,NA,"781612975589355520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gerald_RPR",0,FALSE,FALSE,NA,NA
"@JetBlue super friendly and conversational &amp; made a real effort to accommodate me and every other passenger on board!",FALSE,0,"JetBlue",2016-09-29 21:52:21,FALSE,"781608691187548160","781612607367151617","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LoganSeth",0,FALSE,FALSE,NA,NA
"@JetBlue On JetBlue flight now. Bought ""FlyFi+ internet"" for $18. Worse than free internet? Too slow 4 hulu, no ""Fl… https://t.co/sfrPxgKRia",FALSE,0,"JetBlue",2016-09-29 21:51:09,TRUE,NA,"781612302374170625","6449282","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MattHudnall",0,FALSE,FALSE,NA,NA
"@JetBlue It's never working, and its usually the only channel that has something good on during my flight -_-. This needs to be fixed",FALSE,0,"JetBlue",2016-09-29 21:50:33,FALSE,"781593524445843456","781612153962921985","6449282","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drunken_bravado",0,FALSE,FALSE,NA,NA
"my @jetblue flight delayed for the second time today",FALSE,0,NA,2016-09-29 21:49:14,FALSE,NA,"781611821396623360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","sMidoit",0,FALSE,FALSE,NA,NA
"RT @Joe_Gatto: Hey @Delta @JetBlue @AmericanAir @VirginAmerica @united ... who wants to donate for my charity drive?  Just need 2 tix to #v…",FALSE,0,NA,2016-09-29 21:47:56,FALSE,NA,"781611496153485312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","murrjoeqsal",70,TRUE,FALSE,NA,NA
"@JetBlue <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>",FALSE,0,"JetBlue",2016-09-29 21:47:33,FALSE,"781611289529450496","781611399302610944","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DonovanDijak",0,FALSE,FALSE,NA,NA
"@JetBlue Yes. $83 was refunded. Just booked @AmericanAir for tonight ON MY OWN for 295.10. Are you paying the difference?",FALSE,0,"JetBlue",2016-09-29 21:44:35,FALSE,"781608079972507648","781610651022086144","6449282","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","EdTxAnn",0,FALSE,FALSE,NA,NA
"RT @HilaryUpdate: .@HilaryDuff on Snapchat: This is the new spa at @JetBlue https://t.co/OHhIU2jnBh",FALSE,0,NA,2016-09-29 21:44:05,FALSE,NA,"781610526442917888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","worthliam",29,TRUE,FALSE,NA,NA
"RT @HilaryUpdate: .@HilaryDuff on Snapchat: This is the new spa at @JetBlue https://t.co/OHhIU2jnBh",FALSE,0,NA,2016-09-29 21:44:05,FALSE,NA,"781610526321348608",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Twittadas1D",29,TRUE,FALSE,NA,NA
"RT @HilaryUpdate: .@HilaryDuff on Snapchat: This is the new spa at @JetBlue https://t.co/OHhIU2jnBh",FALSE,0,NA,2016-09-29 21:44:05,FALSE,NA,"781610526141022208",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SomerhalderFan",29,TRUE,FALSE,NA,NA
"RT @HilaryUpdate: .@HilaryDuff on Snapchat: This is the new spa at @JetBlue https://t.co/OHhIU2jnBh",FALSE,0,NA,2016-09-29 21:44:05,FALSE,NA,"781610524572278784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NicolesCrew",29,TRUE,FALSE,NA,NA
